City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ukiah,US,39.1502,-123.2078,52.43,84,100,5.75,overcast clouds
1,Norman Wells,CA,65.282,-126.8329,44.64,49,20,8.05,few clouds
2,Atuona,PF,-9.8,-139.0333,77.97,82,100,14.09,light rain
3,Hilo,US,19.7297,-155.09,71.28,92,40,5.75,light rain
4,Souillac,MU,-20.5167,57.5167,79.18,83,40,5.75,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,76.64,73,100,8.7,overcast clouds
6,Ribeira Grande,PT,38.5167,-28.7,66.6,72,40,5.75,scattered clouds
7,Fortuna,US,40.5982,-124.1573,47.91,95,75,6.91,broken clouds
8,Albany,US,42.6001,-73.9662,53.38,86,92,3.0,overcast clouds
9,Roald,NO,62.5833,6.1333,44.91,87,75,11.5,light rain
10,Akdepe,TM,42.0551,59.3788,64.49,79,100,6.67,overcast clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,73.74,85,36,6.49,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,21.85,broken clouds
13,Ushuaia,AR,-54.8,-68.3,46.06,53,75,4.61,broken clouds
14,Kampong Thum,KH,12.7111,104.8887,75.43,97,100,5.19,light rain
15,Bahia Blanca,AR,-38.7196,-62.2724,52.97,60,94,3.67,overcast clouds
16,Rawson,AR,-43.3002,-65.1023,54.79,54,43,10.22,scattered clouds
17,Portland,US,45.5234,-122.6762,48.24,89,100,15.01,overcast clouds
18,Nikolskoye,RU,59.7035,30.7861,55.29,44,100,8.25,overcast clouds
19,Severo-Kurilsk,RU,50.6789,156.125,34.21,86,100,3.42,overcast clouds
20,Bluff,NZ,-46.6,168.3333,47.8,80,82,9.06,broken clouds
21,Barrow,US,71.2906,-156.7887,15.82,86,100,9.22,overcast clouds
22,Vinukonda,IN,16.05,79.75,88.2,63,100,17.85,overcast clouds
23,Pacific Grove,US,36.6177,-121.9166,50.34,86,90,17.0,overcast clouds
24,Ilulissat,GL,69.2167,-51.1,26.62,50,40,2.3,scattered clouds
25,Wakkanai,JP,45.4094,141.6739,41.99,87,73,7.94,moderate rain
26,Avarua,CK,-21.2078,-159.775,80.65,83,75,10.36,broken clouds
27,Jamestown,US,42.097,-79.2353,51.03,91,100,12.66,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,12.04,57,40,3.44,scattered clouds
29,Luxor,EG,25.6989,32.6421,102.25,12,0,9.22,clear sky
30,Bethel,US,41.3712,-73.414,52.48,87,100,1.99,light rain
31,Ust-Kan,RU,50.9276,84.761,48.0,87,100,6.49,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,84.79,59,45,4.14,scattered clouds
33,Penzance,GB,50.1186,-5.5371,54.72,87,40,5.75,scattered clouds
34,Lermontovka,RU,47.1453,134.3383,41.38,70,100,2.08,overcast clouds
35,Khatanga,RU,71.9667,102.5,22.68,93,98,9.08,light snow
36,Odweyne,SO,9.4092,45.064,83.07,45,90,5.97,overcast clouds
37,Vaini,TO,-21.2,-175.2,77.16,88,40,9.22,scattered clouds
38,Iqaluit,CA,63.7506,-68.5145,20.93,85,100,15.01,overcast clouds
39,San Fernando,PH,15.0286,120.6898,82.13,71,89,0.2,overcast clouds
40,Qiyang,CN,26.5911,111.8474,62.08,68,91,2.35,overcast clouds
41,Aykhal,RU,66.0,111.5,20.68,93,62,8.79,broken clouds
42,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,62,75,16.11,broken clouds
43,Ponta Do Sol,PT,32.6667,-17.1,75.0,72,0,6.02,clear sky
