City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
22,Vinukonda,IN,88.2,overcast clouds,16.05,79.75,VLS Residency
26,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
32,Hermanus,ZA,84.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Odweyne,SO,83.07,overcast clouds,9.4092,45.064,Eng Hiirey House
39,San Fernando,PH,82.13,overcast clouds,15.0286,120.6898,Maharlika Hostel
55,Takoradi,GH,86.13,overcast clouds,4.8845,-1.7554,Raybow International Hotel
59,Dzaoudzi,YT,84.09,clear sky,-12.7887,45.2699,Le Rocher
64,Buchanan,LR,85.3,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
67,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Akyab,MM,83.7,clear sky,20.15,92.9,Hotel Memory
88,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
96,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
106,Bom Jardim,BR,85.1,broken clouds,-7.7958,-35.5872,Wilton Joaquim 8 Wilton
110,Karachi,PK,85.82,dust,24.9056,67.0822,Sadaat
118,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,Sur,OM,91.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
126,Pallipattu,IN,92.55,overcast clouds,13.3386,79.4449,Annur Holiday Resorts
127,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
131,Jaggayyapeta,IN,85.98,scattered clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
133,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
136,Tevaitoa,PF,80.1,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
138,Ormara,PK,83.64,clear sky,25.2088,64.6357,Kenara Colony house for Rent
139,Jacareacanga,BR,80.53,broken clouds,-6.2222,-57.7528,Casa do Ian😎
154,Caravelas,BR,84.04,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
157,Luena,AO,80.78,few clouds,-11.7833,19.9167,Hotel Kandamba
158,Bandarbeyla,SO,86.38,broken clouds,9.4942,50.8122,JABIR HOTEL
162,Sulangan,PH,83.86,overcast clouds,11.1373,123.7228,Maia's Beach Resort
168,Piacabucu,BR,81.25,broken clouds,-10.4056,-36.4344,Piaçabuçu News
172,Mogadishu,SO,89.47,few clouds,2.0371,45.3438,Hotel Juba
175,Kota Kinabalu,MY,82.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
181,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
184,Wajir,KE,89.56,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
185,Kudahuvadhoo,MV,85.51,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
186,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
187,Georgetown,MY,82.33,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
190,Harper,LR,85.53,light rain,4.375,-7.7169,Screensaver
