City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vardo,NO,2022-04-30 13:05:53,70.3705,31.1107,30.22,59,100,17.18
1,Lebu,CL,2022-04-30 13:05:54,-37.6167,-73.65,48.42,70,1,10.96
2,Vao,NC,2022-04-30 13:05:55,-22.6667,167.4833,74.37,79,100,22.39
3,Dingle,PH,2022-04-30 13:05:55,10.9995,122.6711,78.85,77,100,6.22
4,Porto Seguro,BR,2022-04-30 13:05:17,-16.4497,-39.0647,82.92,74,40,4.61
5,New Norfolk,AU,2022-04-30 13:05:56,-42.7826,147.0587,55.92,46,100,7.67
6,Kaitangata,NZ,2022-04-30 13:05:56,-46.2817,169.8464,49.86,86,35,4.36
7,Punta Arenas,CL,2022-04-30 13:04:11,-53.15,-70.9167,38.05,78,45,3.2
8,Shizunai,JP,2022-04-30 13:02:25,42.3339,142.3669,43.18,62,98,4.09
9,Talnakh,RU,2022-04-30 13:05:57,69.4865,88.3972,21.67,91,94,4.88
10,Pangkalanbuun,ID,2022-04-30 13:05:58,-2.6833,111.6167,76.78,91,44,2.24
11,Nikolskoye,RU,2022-04-30 13:05:58,59.7035,30.7861,46.78,37,76,9.44
12,Chokurdakh,RU,2022-04-30 13:05:59,70.6333,147.9167,7.88,95,38,7.16
13,Buraydah,SA,2022-04-30 13:05:59,26.326,43.975,89.92,21,0,1.72
14,Laguna,US,2022-04-30 13:06:00,38.421,-121.4238,57.09,82,0,6.91
15,Leningradskiy,RU,2022-04-30 13:06:01,69.3833,178.4167,6.55,97,100,6.67
16,Saint-Philippe,RE,2022-04-30 13:06:01,-21.3585,55.7679,83.79,77,50,12.15
17,Frederikshavn,DK,2022-04-30 13:06:02,57.4407,10.5366,50.95,55,30,4.61
18,Bethel,US,2022-04-30 13:06:03,41.3712,-73.414,53.02,40,0,9.22
19,Tadine,NC,2022-04-30 13:06:03,-21.55,167.8833,74.34,83,100,15.68
20,Ushuaia,AR,2022-04-30 13:06:04,-54.8,-68.3,33.46,86,0,5.75
21,Lake Charles,US,2022-04-30 13:06:04,30.2131,-93.2044,73.38,93,40,6.91
